ID,Java
541513440106 ,96
541513440242 ,92
541513440107 ,91
541513440230 ,91
541513440153 ,91
541513440235 ,91
541513440224 ,91
541513440236 ,90
541513440210 ,90
541513440101 ,90
541513440140 ,90
541513440127 ,90
541513440237 ,90
541513440149 ,90
541513440118 ,90
541413440150 ,90
541513440205 ,90
541513440124 ,89
541513440239 ,89
541513440253 ,89
541513440152 ,89
541513440108 ,88
541513440145 ,88
541513440135 ,88
541513440111 ,87
541513440141 ,87
541513440220 ,87
541513440144 ,87
541513440142 ,87
541513440136 ,86
541513440213 ,86
541513440117 ,85
541513440254 ,85
541513440231 ,85
541513440150 ,85
541513440249 ,85
541513440211 ,85
541513440252 ,85
541513440126 ,84
541513440109 ,84
541513440116 ,83
541513440112 ,83
541513440246 ,83
541513440103 ,83
541513440114 ,83
541513440247 ,83
541513440123 ,83
541513440233 ,83
541513440128 ,83
541513440132 ,82
541513440131 ,82
541513440209 ,81
541513440151 ,81
541513440221 ,81
541513440223 ,81
541513440105 ,81
541513440229 ,81
541513440143 ,80
541513440256 ,80
541513440208 ,80
541513440115 ,80
541513440147 ,80
541513440234 ,80
541513440240 ,80
541513440203 ,79
541513440130 ,79
541513440241 ,79
541513440219 ,79
541513440154 ,79
541513440255 ,78
541513440125 ,78
541513440222 ,78
541513440138 ,77
541513440202 ,77
541513440215 ,77
541513440217 ,77
541513440102 ,77
541513440122 ,76
541513440155 ,76
541513440119 ,76
541513440225 ,75
541513440226 ,75
541513440244 ,75
541513440248 ,75
541513440110 ,74
541513440139 ,73
541513440148 ,73
541513440129 ,73
541513440201 ,72
541513440207 ,71
541513440251 ,71
541513440157 ,71
541513440120 ,71
541513440214 ,70
541513440243 ,69
541513440113 ,69
541513440204 ,69
541513440228 ,68
541513440218 ,67
541513440232 ,66
541513440156 ,66
541513440121 ,66
541513440212 ,66
541513440137 ,64
541513440250 ,61
